Price,Close,High,Low,Open,Volume,Log_return,realized_volatility_20d
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,
2006-02-01,1282.4599609375,1283.3299560546875,1277.5699462890625,1280.0799560546875,2589410000,0.0018575363851853091,0.006103434982046429
2006-02-02,1270.8399658203125,1282.4599609375,1267.719970703125,1282.4599609375,2565300000,-0.009102005775588267,0.006418374748048517
2006-02-03,1264.030029296875,1270.8699951171875,1261.02001953125,1270.8399658203125,2282210000,-0.005373019460362076,0.006525345348697317
2006-02-06,1265.02001953125,1267.0400390625,1261.6199951171875,1264.030029296875,2132360000,0.000782894973074496,0.00612179074002201
2006-02-07,1254.780029296875,1265.780029296875,1253.6099853515625,1265.02001953125,2366370000,-0.008127666010110246,0.00623650173059337
2006-02-08,1265.6500244140625,1266.469970703125,1254.780029296875,1254.780029296875,2456860000,0.008625561733288215,0.006626077744535405
2006-02-09,1263.780029296875,1274.56005859375,1262.800048828125,1265.6500244140625,2441920000,-0.0014785903687121538,0.006544389359651245
2006-02-10,1266.989990234375,1269.8900146484375,1254.97998046875,1263.8199462890625,2290050000,0.002536747815164882,0.006479375621725248
2006-02-13,1262.8599853515625,1266.989990234375,1258.3399658203125,1266.989990234375,1850080000,-0.003265022504588939,0.006485602021195341
2006-02-14,1275.530029296875,1278.2099609375,1260.800048828125,1262.8599853515625,2437940000,0.009982823043985454,0.006893008988567433
2006-02-15,1280.0,1281.0,1271.06005859375,1275.530029296875,2317590000,0.0034982764518372493,0.006887400584219192
2006-02-16,1289.3800048828125,1289.3900146484375,1280.0,1280.0,2251490000,0.007301408539075194,0.006971292577580448
2006-02-17,1287.239990234375,1289.469970703125,1284.0699462890625,1289.3800048828125,2128260000,-0.001661102641883317,0.005449178560491415
2006-02-21,1283.030029296875,1291.9200439453125,1281.3299560546875,1287.239990234375,2104320000,-0.003275892937654234,0.005527637484323465
2006-02-22,1292.6700439453125,1294.1700439453125,1283.030029296875,1283.030029296875,2222380000,0.007485389902519992,0.0057208759359393185
2006-02-23,1287.7900390625,1293.8399658203125,1285.1400146484375,1292.6700439453125,2144210000,-0.003782279549742235,0.005790746938228889
2006-02-24,1289.4300537109375,1292.1099853515625,1285.6199951171875,1287.7900390625,1933010000,0.0012727006703122869,0.00559963008146435
2006-02-27,1294.1199951171875,1297.5699462890625,1289.4300537109375,1289.4300537109375,1975320000,0.0036306217950358086,0.005396297809630199
2006-02-28,1280.6600341796875,1294.1199951171875,1278.6600341796875,1294.1199951171875,2370860000,-0.010455326977436476,0.005911258845468109
2006-03-01,1291.239990234375,1291.800048828125,1280.6600341796875,1280.6600341796875,2308320000,0.008227392693299463,0.0061241128148693934
2006-03-02,1289.1400146484375,1291.239990234375,1283.2099609375,1291.239990234375,2494590000,-0.0016276486762224268,0.006131056264079152
